sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
50,,Default,simple,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-20 15:00:41",,,,,"Pour retrouver une ambiance calme et harmonieuse tout en parfumant chaleureusement le salon d’effluves fruités, il suffit de verser quelques gouttes d’une synergie d’huiles essentielles biologiques dans le diffuseur qui se branche en toute simplicité. Les molécules aromatiques se diffusent grâce à une chaleur douce qui permet de préserver toutes leurs vertus. Grâce à sa minuterie électronique, trois cycles de diffusion de 15 minutes se succèdent pour finir par un arrêt automatique. Son éclairage bleuté à intensité réglable permet d’indiquer qu'il est en fonctionnement.

Contient : 1 diffuseur mural.

Fonctionne sur toutes les prises électriques 220V.

Conseils d’utilisation : Pour éviter de saturer l’air en molécules aromatiques, ne jamais diffuser les huiles essentielles de façon continue. Une diffusion de quelques gouttes pendant 15 à 20 minutes maximum est suffisante pour une pièce de 20 m².

Précautions d’emploi : Ne pas avaler. Éviter tout contact avec les yeux. Tenir hors de portée des enfants. Ne pas verser vers une flamme ou une source de chaleur. Ne pas utiliser pour les enfants de moins de trois ans. Pour les femmes enceintes demandez conseil à un spécialiste.

H. 10 cm - L. 7,8 cm - P. 10,4 cm.
Garantie : 2 ans",,,0,/d/i/diffuseur-mural.jpg,"Diffuseur mural",,,,,,,,"Use config","Use config","Diffuseur mural d'huiles essentielles",,,"Block after Info Column",,24.9500,0,"Diffuseur nomade, à brancher partout
Très simple d'utilisation et d'entretien
Pour parfumer la maison et profiter des vertus des huiles essentielles",/d/i/diffuseur-mural.jpg,"Diffuseur mural",,,,1,0,/d/i/diffuseur-mural.jpg,"Diffuseur mural","2013-12-20 15:42:26",diffuseur-mural-d-huiles-essentielles,diffuseur-mural-d-huiles-essentielles.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/d/i/diffuseur-mural.jpg,"Diffuseur mural",1,0,,,,
,,,,"Des senteurs qui enivrent/Diffuseurs d'huiles essentielles","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Default,configurable,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-20 15:31:59",,,,,"De la cheminée du diffuseur Azur se dégage une brume aux huiles essentielles qui parfume délicatement la pièce. Pour cela, il suffit de remplir le réservoir d’eau et d’y ajouter quelques gouttes d’huiles essentielles. 

Grâce à sa membrane à ultrasons, ce diffuseur transforme alors l’eau en micro-gouttelettes qui s’envolent dans la pièce, emportant avec elles les huiles essentielles parfumées. Le diffuseur Azur se fait aussi objet de décoration grâce à la lumière bleue qu’il diffuse. 

Contient : 1 diffuseur , 1 adaptateur secteur et 1 notice.

CARACTÉRISTIQUES TECHNIQUES

Puissance : 12 W.
Fonctionne avec un adaptateur AC 24V fourni.
Contenance du réservoir d’eau max 100 ml.
Bouton ON/OFF.
Couverture de diffusion : 40 m2.

Conseils d'utilisation : Il est recommandé de ne diffuser que des huiles essentielles pures et de préférence de culture biologique. Mettre un peu d'huile essentielle dans le diffuseur et la renouveler régulièrement car elle peut s'oxyder et s'épaissir. Pour éviter de saturer l'air en molécules aromatiques, ne jamais diffuser les huiles essentielles de façon continue. Ne jamais diffuser plus de cinq minutes dans une chambre d'enfant.",,,1,/d/i/diffuseur-azur-blanc_1_1.jpg,,,,,,,,,"Use config","Use config","Diffuseur Azur",,,"Block after Info Column",,59.9000,1,"Diffusion des huiles essentielles à froid par brumisation
Lumière bleutée, douce et apaisante
Prévu pour une pièce de 40 m2",/d/i/diffuseur-azur-blanc_1_1.jpg,,,,,1,0,/d/i/diffuseur-azur-blanc_1_1.jpg,,"2013-12-20 15:58:02",diffuseur-azur,diffuseur-azur.html,4,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/d/i/diffuseur-azur-blanc_1_1.jpg,,1,0,3-Noir,color,Noir,
,,,,"Des senteurs qui enivrent/Diffuseurs d'huiles essentielles","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/d/i/diffuseur-azur-noir_1.jpg,,2,0,3-Blanc,color,Blanc,
3-Noir,,Default,simple,,,base,Noir,,,"2013-12-20 15:48:40",,,,,"De la cheminée du diffuseur Azur se dégage une brume aux huiles essentielles qui parfume délicatement la pièce. Pour cela, il suffit de remplir le réservoir d’eau et d’y ajouter quelques gouttes d’huiles essentielles. 

Grâce à sa membrane à ultrasons, ce diffuseur transforme alors l’eau en micro-gouttelettes qui s’envolent dans la pièce, emportant avec elles les huiles essentielles parfumées. Le diffuseur Azur se fait aussi objet de décoration grâce à la lumière bleue qu’il diffuse. 

Contient : 1 diffuseur , 1 adaptateur secteur et 1 notice.

CARACTÉRISTIQUES TECHNIQUES

Puissance : 12 W.
Fonctionne avec un adaptateur AC 24V fourni.
Contenance du réservoir d’eau max 100 ml.
Bouton ON/OFF.
Couverture de diffusion : 40 m2.

Conseils d'utilisation : Il est recommandé de ne diffuser que des huiles essentielles pures et de préférence de culture biologique. Mettre un peu d'huile essentielle dans le diffuseur et la renouveler régulièrement car elle peut s'oxyder et s'épaissir. Pour éviter de saturer l'air en molécules aromatiques, ne jamais diffuser les huiles essentielles de façon continue. Ne jamais diffuser plus de cinq minutes dans une chambre d'enfant.",,,0,/d/i/diffuseur-azur-noir_2.jpg,,,,,,,,,"Use config","Use config","Diffuseur Azur-Noir",,,"Block after Info Column",,59.9000,0,"Diffusion des huiles essentielles à froid par brumisation
Lumière bleutée, douce et apaisante
Prévu pour une pièce de 40 m2",/d/i/diffuseur-azur-noir_2.jpg,,,,,1,0,/d/i/diffuseur-azur-noir_2.jpg,,"2013-12-20 15:50:17",diffuseur-azur-noir,diffuseur-azur-noir.html,1,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/d/i/diffuseur-azur-noir_2.jpg,,1,0,,,,
3-Blanc,,Default,simple,,,base,Blanc,,,"2013-12-20 15:51:41",,,,,"De la cheminée du diffuseur Azur se dégage une brume aux huiles essentielles qui parfume délicatement la pièce. Pour cela, il suffit de remplir le réservoir d’eau et d’y ajouter quelques gouttes d’huiles essentielles. 

Grâce à sa membrane à ultrasons, ce diffuseur transforme alors l’eau en micro-gouttelettes qui s’envolent dans la pièce, emportant avec elles les huiles essentielles parfumées. Le diffuseur Azur se fait aussi objet de décoration grâce à la lumière bleue qu’il diffuse. 

Contient : 1 diffuseur , 1 adaptateur secteur et 1 notice.

CARACTÉRISTIQUES TECHNIQUES

Puissance : 12 W.
Fonctionne avec un adaptateur AC 24V fourni.
Contenance du réservoir d’eau max 100 ml.
Bouton ON/OFF.
Couverture de diffusion : 40 m2.

Conseils d'utilisation : Il est recommandé de ne diffuser que des huiles essentielles pures et de préférence de culture biologique. Mettre un peu d'huile essentielle dans le diffuseur et la renouveler régulièrement car elle peut s'oxyder et s'épaissir. Pour éviter de saturer l'air en molécules aromatiques, ne jamais diffuser les huiles essentielles de façon continue. Ne jamais diffuser plus de cinq minutes dans une chambre d'enfant.",,,0,no_selection,,,,,,,,,"Use config","Use config","Diffuseur Azur-Blanc",,,"Block after Info Column",,59.9000,0,"Diffusion des huiles essentielles à froid par brumisation
Lumière bleutée, douce et apaisante
Prévu pour une pièce de 40 m2",no_selection,,,,,1,0,no_selection,,"2013-12-20 15:53:08",diffuseur-azur-blanc,diffuseur-azur-blanc.html,1,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Default,simple,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-20 16:06:08",,,,,"Le diffuseur Yun est idéal pour créer une ambiance calme et apaisante chez vous. Sa coupelle fabriquée en bois d'érable, son couvercle en verre soufflé ainsi que son design épuré font de lui un superbe objet de décoration et de bien-être qui trouvera facilement sa place à la maison. Très performant, il permet de couvrir une pièce de 40 m2.
 
Grâce à sa technologie des ultrasons, le diffuseur Yun vaporise une brume d’eau qui augmente le taux d’humidité de l’air ambiant. Mélangées avec quelques gouttes d’huiles essentielles, les molécules aromatiques ainsi projetées vous permettent de bénéficier pleinement de leurs propriétés apaisantes ou stimulantes. Vous profitez ainsi de toutes les vertus des huiles essentielles et de leurs parfums si agréables. 

Grâce à ses trois programmes, à vous de choisir la plage de diffusion qui vous convient le mieux : une heure, deux heures ou trois heures. Et avec à sa fonction ionisation, le diffuseur libère aussi dans l’air des ions négatifs qui aident à se sentir à la fois plus énergique et plus apaisé.
 
Le diffuseur Yun dévoile également une douce lumière qui passe du bleu au blanc, et du blanc au violet. L'idéal pour une ambiance zen. Et pour un programme détente qui stimule tous les sens, ce diffuseur très complet offre aussi une musique apaisante, propice à la relaxation. L'utilisateur peut aussi brancher un lecteur de musique externe sur le diffuseur afin de profiter de la musique qu'il préfère.

Et pour programmer simplement votre pause détente personnalisée, vous pouvez utiliser la télécommande du diffuseur Yun pour ajuster à tout moment les options que vous souhaitez.

Contient : 1 socle en bois, 1 couvercle en verre, 1 télécommande, 1 anti-éclaboussure, 1 cale, 1 pinceau pour l'entretien, 1 verseuse d'eau, 1 adaptateur secteur et 1 câble audio.

CARACTÉRISTIQUES TECHNIQUES

Alimentation : 24 V continu, 650mA.

Puissance : 15 W.

Débit de brume : 70± 10 ml/h.

Eau conseillé : eau du robinet ou eau minérale à température ambiante.

Superficie couverte : 40 m2.

Musique : 12 minutes.

3 programmes de diffusion : 1 heure, 2 heures, 3 heures.

Option musique apaisante : on/off. Réglage du volume.

Prise d'arrivée de la musique pour brancher un lecteur MP3/MP4/CD/VCD/DVD.

Option couleurs LED : lumière bleue, lumière blanche, lumière violette, aucune lumière.

Notice fournie.

Coupelle fabriquée en bois d'érable et couvercle en verre soufflé.

Distance maximale d'utilisation de la télécommande : 8 mètres.

Ø. 20 cm - H. 16 cm.",,,0,/d/i/diffuseur_yun.jpg,,,,,,,,,"Use config","Use config","Diffuseur Yun",,,"Block after Info Column",,149.0000,0,"Profitez d'un diffuseur design, performant et complet
Il couvre une superficie de 40 m2 maximum
Il stimule les sens avec sa musique, ses couleurs et le parfum des huiles
Vous pouvez brancher votre lecteur MP3",/d/i/diffuseur_yun.jpg,,,,,1,0,/d/i/diffuseur_yun.jpg,,"2013-12-20 16:11:09",diffuseur-yun,diffuseur-yun.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/d/i/diffuseur_yun.jpg,,1,0,,,,
,,,,"Des senteurs qui enivrent/Diffuseurs d'huiles essentielles","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Default,simple,"Des senteurs qui enivrent","Default Category",base,,,,"2013-12-20 16:14:03",,,,,"La nature est pleine de ressources, et les huiles essentielles vous en font la démonstration. Véritables concentrés de plantes, elles dévoilent une large gamme de vertus pour se faire du bien, soigner les bobos du quotidien, se détendre ou simplement parfumer la maison. Nature & Découvertes vous invite à découvrir une gamme d’huiles essentielles 100% bio qui restitue chez vous les bienfaits de la nature.

L'huile essentielle de verveine dévoile un parfum très agréable d'agrume légèrement piquant. Son odeur fraîche se marie à plusieurs vertus :
Anti-stress : utilisée en diffusion atmosphérique ou diluée dans une huile végétale en massage ou dans un bain avec un dispersant, l'huile essentielle de verveine permet de se relaxer, de chasser les idées noires et de retrouver la sérénité.
Équilibrante : appliquée diluée dans une huile végétale et appliquée sur l'intérieur du poignet, l'huile essentielle de verveine aide à équilibrer l'humeur et chasser les angoisses.
Sommeil : l'huile essentielle de verveine facilite le sommeil une fois utilisée en diffusion atmosphérique, diluée dans une huile végétale en massage ou avec un dispersant pour le bain.

Nos engagements

Comme toutes nos huiles essentielles, l'huile essentielle de verveine est :

100 % pure et naturelle
100 % bio
100 % extraite sans solvants de synthèse
100 % totale contenant la totalité des principes aromatiques
Non déterpénée (procédé visant à retirer chimiquement les traces de résine)
Issue d’un fournisseur expert en huiles essentielles
HEBBD (Huile Essentielle Botaniquement et Biologiquement Définie) : le nom latin de l’huile, la partie de la plante utilisée et le chémotype complet figurent dans un certificat d’analyse réalisé par un laboratoire indépendant, avec chaque flacon d’huile essentielle.
Précautions d’utilisation : Ne pas utiliser pure sur la peau. Tenir hors de portée des enfants. Éviter le contact avec les zones sensibles telles que les yeux. L’utilisation des huiles essentielles est déconseillée aux enfants de moins de trois ans et aux femmes enceintes. Certaines huiles essentielles sont photosensibilisantes, dermocaustiques, irritantes, allergisantes. Il est indispensable de vérifier ces éléments sur la notice. Ne pas utiliser sans l’avis d’un médecin compétent.",,,0,/b/o/bouh.jpg,,,,,,,,,"Use config","Use config","Huile essentielle bio verveine exotique",,,"Block after Info Column",,12.9500,0,"Une huile essentielle bio
Pour lutter contre le stress et chasser les angoisses
Favorise le sommeil",/b/o/bouh.jpg,,,,,1,0,/b/o/bouh.jpg,,"2013-12-20 16:16:28",huile-essentielle-bio-verveine-exotique,huile-essentielle-bio-verveine-exotique.html,4,1.0000,25.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/b/o/bouh.jpg,,1,0,,,,
,,,,"Des senteurs qui enivrent/Huiles essentielles","Default Category",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
